categoria;dono;tipo;arquivo;emissao;vencimento;status;dias_ate_vencer;caminho;ocr
veiculos;SEF1H39;CIV;CIV SEF-1H39.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\CIV SEF-1H39.pdf;S
veiculos;SEF1H39;CRLV;CRLV_AWA6093.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\CRLV_AWA6093.pdf;S
veiculos;SEF1H39;CRLV;CRLV_SEF1H39.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\CRLV_SEF1H39.pdf;S
veiculos;SEF1H39;OUTROS;NR01-09 EDINEY.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\NR01-09 EDINEY.pdf;N
veiculos;SES9I46;IPEM;AFERIÇÃO TBE6C64 - OK.pdf;;2027-03-18;ok;245;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\AFERIÇÃO TBE6C64 - OK.pdf;S
veiculos;SES9I46;CIPP;CIPP TBE6C64 - OK.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\CIPP TBE6C64 - OK.pdf;S
veiculos;SES9I46;CIV;CIV SES-9I46 - OK.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\CIV SES-9I46 - OK.pdf;S
veiculos;SES9I46;CIV;CIV TBE6C64 -OK.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\CIV TBE6C64 -OK.pdf;S
veiculos;SES9I46;OUTROS;Comprovante Residencia Ronaldo.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\Comprovante Residencia Ronaldo.pdf;N
veiculos;SES9I46;CRLV;CRLV TBE6C64 - OK.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\CRLV TBE6C64 - OK.pdf;S
veiculos;SES9I46;CRLV;CRLV_SES- 9I46 - OK.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I46\sem-data\CRLV_SES- 9I46 - OK.pdf;S
veiculos;SES9I57;IPEM;AFERIÇÃO AMX5193 (3).pdf;;2027-07-09;ok;358;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\AFERIÇÃO AMX5193 (3).pdf;S
veiculos;SES9I57;IPEM;AFERIÇÃO AMX5199 (3).pdf;;2027-07-09;ok;358;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\AFERIÇÃO AMX5199 (3).pdf;S
veiculos;SES9I57;CIPP;CIPP AMX-5193.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\sem-data\CIPP AMX-5193.pdf;S
veiculos;SES9I57;CIPP;CIPP AMX-5199.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\sem-data\CIPP AMX-5199.pdf;S
veiculos;SES9I57;CIV;CIV SES9I57.pdf;;2025-09-11;vencido;-308;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\vencidos\CIV SES9I57.pdf;S
veiculos;SES9I57;OUTROS;COMPROVANTE DE ENDEREÇO LORINALDO.pdf;2025-11-17;2025-12-18;vencido;-209;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\vencidos\COMPROVANTE DE ENDEREÇO LORINALDO.pdf;N
veiculos;SES9I57;CRLV;CRLV_AMX5193.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\sem-data\CRLV_AMX5193.pdf;S
veiculos;SES9I57;CRLV;CRLV_AMX5199.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\sem-data\CRLV_AMX5199.pdf;S
veiculos;SES9I57;CRLV;CRLV_SES-9I57.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\sem-data\CRLV_SES-9I57.pdf;S
